,open,high,low,close,volume
2018-05-03,55.82,57.25,54.99,56.74,9106925.0
2018-05-04,56.75,57.88,56.37,56.9,7871008.0
2018-05-07,56.9,60.69,56.9,60.36,15229827.0
2018-05-08,60.31,61.27,59.89,60.55,10969774.0
2018-05-09,60.86,61.44,59.98,61.44,5673815.0
2018-05-10,61.44,62.49,60.76,62.0,10121397.0
2018-05-11,61.86,62.88,60.71,60.92,7871005.0
2018-05-14,60.83,62.87,60.82,62.87,8865169.0
2018-05-15,62.57,62.79,61.26,62.42,9500203.0
2018-05-16,62.16,63.51,61.77,62.8,8808414.0
2018-05-17,62.8,62.84,60.45,60.96,6544937.0
2018-05-18,60.73,61.94,60.45,61.91,6110117.0
2018-05-21,62.31,62.99,61.48,61.83,4424120.0
2018-05-22,61.83,63.13,61.4,62.76,6692417.0
2018-05-23,62.76,63.15,60.61,60.95,6636676.0
2018-05-24,60.96,61.89,60.28,60.69,5475353.0
2018-05-25,60.69,62.38,60.31,62.0,7315899.0
2018-05-28,62.05,65.05,61.67,64.25,11699559.0
2018-05-29,64.3,65.01,63.17,63.32,9292234.0
2018-05-30,62.89,64.26,61.8,63.1,8407665.0
2018-05-31,63.65,65.29,62.82,64.86,12178378.0
2018-06-01,64.84,65.38,63.17,63.53,8580101.0
2018-06-04,63.75,65.39,63.13,65.28,13573056.0
2018-06-05,65.26,65.83,64.11,65.53,11732420.0
2018-06-06,65.61,66.12,64.82,65.03,9349050.0
2018-06-07,65.42,65.5,63.72,63.92,7904796.0
2018-06-08,63.92,64.87,63.13,64.1,6057592.0
2018-06-11,64.1,65.05,63.17,63.94,8093923.0
2018-06-12,64.22,66.17,63.56,65.71,11470287.0
2018-06-13,65.43,66.14,65.05,65.38,6560574.0
2018-06-14,65.25,65.9,62.03,63.07,11392078.0
2018-06-15,62.99,63.6,62.37,63.11,7857721.0
2018-06-19,62.7,62.94,60.92,61.29,9457649.0
2018-06-20,60.93,63.83,60.92,62.86,8368196.0
2018-06-21,62.84,64.02,61.39,61.59,4707637.0
2018-06-22,61.58,62.13,60.36,62.0,3467353.0
2018-06-25,62.2,63.91,62.2,62.42,6141610.0
2018-06-26,63.5,63.5,59.95,60.72,13453516.0
2018-06-27,60.45,60.62,57.63,58.81,13004329.0
2018-06-28,57.62,57.62,55.38,55.64,14425037.0
2018-06-29,55.6,57.92,55.38,57.13,6791516.0
2018-07-02,57.05,58.29,55.48,55.95,8669554.0
2018-07-03,55.57,56.1,51.9,53.95,21747601.0
2018-07-04,53.65,54.34,52.1,52.35,13052622.0
2018-07-05,52.75,53.78,50.64,51.78,15318217.0
2018-07-06,51.7,52.92,50.76,51.95,13060296.0
2018-07-09,52.57,54.71,52.29,54.58,11738527.0
2018-07-10,54.6,55.59,54.44,55.22,7884666.0
2018-07-11,54.02,55.07,53.53,53.9,6212091.0
2018-07-12,53.51,55.95,53.51,55.81,9686585.0
2018-07-13,55.82,56.97,54.91,56.78,10036488.0
2018-07-16,56.94,57.34,55.82,56.29,7998051.0
2018-07-17,56.37,56.47,54.07,55.09,7847293.0
